algo,calls,dead_ends,density,expansions,hp,masks_processed,n,prunes_deg0_remaining,prunes_reach,states_reached,status,time_sec,transitions,trial
DP,,,sparse,,False,0,40,,,0,ok_or_skipped,2.4092994863167405e-05,0,2
BT,40,0,sparse,39,True,,40,0,0,,ok,0.0007392620027530938,,3
DP,,,sparse,,False,0,40,,,0,ok_or_skipped,2.8454000130295753e-05,0,3
BT,27656,0,sparse,27655,True,,40,5157,9692,,ok,0.2422453910112381,,4
DP,,,sparse,,False,0,40,,,0,ok_or_skipped,4.0660990634933114e-05,0,4
BT,40,0,dense,39,True,,40,0,0,,ok,0.0014262589975260198,,0
DP,,,dense,,False,0,40,,,0,ok_or_skipped,0.0005770550051238388,0,0
BT,40,0,dense,39,True,,40,0,0,,ok,0.0015751979954075068,,1
DP,,,dense,,False,0,40,,,0,ok_or_skipped,3.0655006412416697e-05,0,1
BT,40,0,dense,39,True,,40,0,0,,ok,0.0014552420179825276,,2
DP,,,dense,,False,0,40,,,0,ok_or_skipped,2.3728003725409508e-05,0,2
BT,40,0,dense,39,True,,40,0,0,,ok,0.00136907200794667,,3
DP,,,dense,,False,0,40,,,0,ok_or_skipped,2.9800983611494303e-05,0,3
BT,40,0,dense,39,True,,40,0,0,,ok,0.0013769340002909303,,4
DP,,,dense,,False,0,40,,,0,ok_or_skipped,2.201800816692412e-05,0,4
BT,50,0,sparse,49,True,,50,0,0,,ok,0.0008031809993553907,,0
DP,,,sparse,,False,0,50,,,0,ok_or_skipped,2.1907006157562137e-05,0,0
BT,5365,0,sparse,5364,True,,50,1047,1792,,ok,0.052280648989835754,,1
DP,,,sparse,,False,0,50,,,0,ok_or_skipped,6.068497896194458e-05,0,1
BT,902812,0,sparse,902811,,,50,177343,316902,,timeout,10.000253325997619,,2
DP,,,sparse,,False,0,50,,,0,ok_or_skipped,0.0003926169883925468,0,2
BT,50,0,sparse,49,True,,50,0,0,,ok,0.0013731590006500483,,3
DP,,,sparse,,False,0,50,,,0,ok_or_skipped,5.104998126626015e-05,0,3
BT,50,0,sparse,49,True,,50,0,0,,ok,0.0008953590004239231,,4
DP,,,sparse,,False,0,50,,,0,ok_or_skipped,2.1371990442276e-05,0,4
BT,50,0,dense,49,True,,50,0,0,,ok,0.002576389000751078,,0
DP,,,dense,,False,0,50,,,0,ok_or_skipped,3.517000004649162e-05,0,0
BT,50,0,dense,49,True,,50,0,0,,ok,0.0025833840190898627,,1
DP,,,dense,,False,0,50,,,0,ok_or_skipped,1.9422994228079915e-05,0,1
BT,50,0,dense,49,True,,50,0,0,,ok,0.002648276014951989,,2
DP,,,dense,,False,0,50,,,0,ok_or_skipped,2.9916001949459314e-05,0,2
BT,50,0,dense,49,True,,50,0,0,,ok,0.002951258997200057,,3
DP,,,dense,,False,0,50,,,0,ok_or_skipped,7.509900024160743e-05,0,3
BT,50,0,dense,49,True,,50,0,0,,ok,0.0024156529980245978,,4
DP,,,dense,,False,0,50,,,0,ok_or_skipped,4.634200013242662e-05,0,4
